loan_id,account_id,start_date,total_amount,duration,installment,end_date,running,defaulter
5314,1787,1993-07-05,96396,12,8033,1994-07-05,1,1
5316,1801,1993-07-11,165960,36,4610,1996-07-11,1,0
6863,9188,1993-07-28,127080,60,2118,1998-07-28,1,0
5325,1843,1993-08-03,105804,36,2939,1996-08-03,1,0
7240,11013,1993-09-06,274740,60,4579,1998-09-06,1,0
6687,8261,1993-09-13,87840,24,3660,1995-09-13,1,0
7284,11265,1993-09-15,52788,12,4399,1994-09-15,1,0
6111,5428,1993-09-24,174744,24,7281,1995-09-24,1,1
7235,10973,1993-10-13,154416,48,3217,1997-10-13,1,0
5997,4894,1993-11-04,117024,24,4876,1995-11-04,1,0
7121,10364,1993-11-10,21924,36,609,1996-11-10,1,0
6077,5270,1993-11-22,79608,24,3317,1995-11-22,1,0
6228,6034,1993-12-01,464520,60,7742,1998-12-01,1,1
6356,6701,1993-12-08,95400,36,2650,1996-12-08,1,0
5523,2705,1993-12-08,93888,36,2608,1996-12-08,1,0
6456,7123,1993-12-09,47016,12,3918,1994-12-09,1,0
7104,10320,1993-12-13,259740,60,4329,1998-12-13,1,0
6820,9034,1993-12-16,38148,12,3179,1994-12-16,1,0
6876,9236,1993-12-21,86616,12,7218,1994-12-21,1,0
7097,10266,1993-12-23,75624,24,3151,1995-12-23,1,1
4959,2,1994-01-05,80952,24,3373,1996-01-05,1,0
6499,7401,1994-01-05,80952,24,3373,1996-01-05,1,0
5479,2486,1994-01-10,24516,12,2043,1995-01-10,1,0
5170,1071,1994-01-20,253200,60,4220,1999-01-20,0,0
6721,8475,1994-01-21,21072,24,878,1996-01-21,1,0
7259,11111,1994-01-31,108144,36,3004,1997-01-31,1,0
5285,1603,1994-02-06,78936,12,6578,1995-02-06,1,0
5189,1166,1994-02-07,149040,48,3105,1998-02-07,1,0
6650,8073,1994-02-17,49320,12,4110,1995-02-17,1,1
7226,10940,1994-02-23,197748,36,5493,1997-02-23,1,0
6087,5313,1994-02-27,300660,60,5011,1999-02-27,0,0
7262,11135,1994-03-01,182628,36,5073,1997-03-01,1,0
5519,2694,1994-03-08,91632,12,7636,1995-03-08,1,0
6577,7753,1994-03-11,51696,24,2154,1996-03-11,1,0
6509,7445,1994-03-15,55368,24,2307,1996-03-15,1,0
6520,7485,1994-03-16,91200,24,3800,1996-03-16,1,0
6699,8330,1994-03-30,7656,24,319,1996-03-30,1,0
6336,6555,1994-03-31,212400,36,5900,1997-03-31,1,0
7055,10079,1994-04-06,167100,60,2785,1999-04-06,0,0
6103,5385,1994-04-07,149340,60,2489,1999-04-07,0,0
6202,5891,1994-04-18,65184,12,5432,1995-04-18,1,0
7066,10131,1994-05-02,215388,36,5983,1997-05-02,1,1
6696,8321,1994-05-09,89040,60,1484,1999-05-09,0,0
6072,5256,1994-05-10,193968,36,5388,1997-05-10,1,0
5130,813,1994-05-11,24312,12,2026,1995-05-11,1,0
5568,2933,1994-05-17,272520,60,4542,1999-05-17,0,0
6678,8173,1994-05-20,80340,12,6695,1995-05-20,1,0
6998,9833,1994-05-21,97632,12,8136,1995-05-21,1,0
6580,7769,1994-05-22,196080,48,4085,1998-05-22,1,0
6316,6473,1994-05-26,76908,12,6409,1995-05-26,1,1
6512,7454,1994-05-26,63312,48,1319,1998-05-26,1,0
6407,6930,1994-05-26,25944,24,1081,1996-05-26,1,0
5002,173,1994-05-31,104808,12,8734,1995-05-31,1,0
6647,8051,1994-06-01,208320,48,4340,1998-06-01,1,0
7137,10439,1994-06-03,151560,24,6315,1996-06-03,1,0
6903,9337,1994-06-04,52128,24,2172,1996-06-04,1,0
5918,4576,1994-06-04,300204,36,8339,1997-06-04,1,0
6642,8027,1994-06-05,77640,12,6470,1995-06-05,1,0
6210,5927,1994-06-06,87216,48,1817,1998-06-06,1,1
6279,6273,1994-06-07,87360,24,3640,1996-06-07,1,0
7249,11065,1994-06-12,69360,48,1445,1998-06-12,1,0
6736,8558,1994-06-14,288360,60,4806,1999-06-14,0,0
6112,5442,1994-06-17,174744,24,7281,1996-06-17,1,1
5319,1811,1994-06-23,239460,60,3991,1999-06-23,0,0
6596,7844,1994-06-25,91584,24,3816,1996-06-25,1,0
5837,4260,1994-06-29,244560,60,4076,1999-06-29,0,0
5657,3354,1994-07-05,4980,12,415,1995-07-05,1,0
5533,2762,1994-07-05,111384,24,4641,1996-07-05,1,0
6232,6051,1994-07-08,276660,36,7685,1997-07-08,1,1
6888,9265,1994-07-11,39576,12,3298,1995-07-11,1,0
6066,5228,1994-07-11,173808,24,7242,1996-07-11,1,0
5549,2824,1994-07-16,50460,60,841,1999-07-16,0,0
5060,426,1994-07-19,252060,60,4201,1999-07-19,0,1
6004,4937,1994-07-23,143904,24,5996,1996-07-23,1,0
5126,790,1994-07-24,208128,48,4336,1998-07-24,1,1
7220,10911,1994-07-28,131292,36,3647,1997-07-28,1,0
6668,8129,1994-07-30,74736,36,2076,1997-07-30,1,0
5395,2176,1994-07-30,299088,36,8308,1997-07-30,1,1
6836,9093,1994-08-03,189300,60,3155,1999-08-03,0,0
6064,5215,1994-08-04,14628,12,1219,1995-08-04,1,0
6919,9403,1994-08-05,120888,36,3358,1997-08-05,1,0
6841,9104,1994-08-07,172080,48,3585,1998-08-07,1,0
6038,5120,1994-08-10,323472,48,6739,1998-08-10,1,0
6729,8519,1994-08-11,74688,12,6224,1995-08-11,1,0
7198,10788,1994-08-23,45768,12,3814,1995-08-23,1,0
6686,8260,1994-08-25,224604,36,6239,1997-08-25,1,0
5836,4259,1994-08-27,79632,24,3318,1996-08-27,1,0
7061,10105,1994-08-27,121896,24,5079,1996-08-27,1,0
5595,3050,1994-09-02,82896,12,6908,1995-09-02,1,0
5723,3674,1994-09-10,23628,12,1969,1995-09-10,1,0
6120,5481,1994-09-11,209184,48,4358,1998-09-11,1,0
6895,9307,1994-09-19,41904,12,3492,1995-09-19,1,0
5882,4427,1994-09-26,87816,12,7318,1995-09-26,1,0
5754,3834,1994-09-28,23052,12,1921,1995-09-28,1,0
6594,7824,1994-09-28,189696,24,7904,1996-09-28,1,1
6738,8566,1994-09-29,230220,36,6395,1997-09-29,1,1
6624,7965,1994-09-30,71460,12,5955,1995-09-30,1,0
6216,5952,1994-09-30,141240,24,5885,1996-09-30,1,0
6229,6040,1994-10-02,11736,24,489,1996-10-02,1,0
5887,4448,1994-10-03,192744,36,5354,1997-10-03,1,0
6808,8982,1994-10-12,227880,36,6330,1997-10-12,1,0
6297,6363,1994-10-25,17508,12,1459,1995-10-25,1,0
5161,1012,1994-10-28,98184,24,4091,1996-10-28,1,0
5390,2167,1994-10-30,170256,24,7094,1996-10-30,1,0
6150,5622,1994-11-02,83016,12,6918,1995-11-02,1,0
6223,5991,1994-11-03,61056,48,1272,1998-11-03,1,0
5032,290,1994-11-03,123696,48,2577,1998-11-03,1,0
6253,6148,1994-11-04,59760,24,2490,1996-11-04,1,0
6460,7133,1994-11-06,48672,36,1352,1997-11-06,1,0
6645,8041,1994-11-06,140400,36,3900,1997-11-06,1,0
5176,1106,1994-11-12,192552,24,8023,1996-11-12,1,1
5269,1527,1994-11-19,164052,36,4557,1997-11-19,1,1
5351,1978,1994-12-04,205200,36,5700,1997-12-04,1,0
5861,4337,1994-12-08,51408,24,2142,1996-12-08,1,0
5450,2345,1994-12-11,199680,60,3328,1999-12-11,0,0
7142,10451,1994-12-19,482940,60,8049,1999-12-19,0,1
6306,6425,1994-12-20,36684,12,3057,1995-12-20,1,0
6272,6226,1994-12-20,398640,60,6644,1999-12-20,0,0
5044,344,1994-12-21,100980,60,1683,1999-12-21,0,0
5576,2962,1994-12-21,31248,12,2604,1995-12-21,1,0
7192,10738,1994-12-21,115992,36,3222,1997-12-21,1,0
5739,3747,1995-01-02,76380,12,6365,1996-01-02,1,0
6526,7523,1995-01-03,288468,36,8013,1998-01-03,1,0
5624,3166,1995-01-03,177744,48,3703,1999-01-03,0,1
6244,6118,1995-01-08,270648,36,7518,1998-01-08,1,1
5131,816,1995-01-08,48624,24,2026,1997-01-08,1,0
6960,9640,1995-01-11,76416,24,3184,1997-01-11,1,0
6358,6715,1995-01-14,137880,60,2298,2000-01-14,0,1
5418,2245,1995-01-16,347952,48,7249,1999-01-16,0,0
6598,7857,1995-01-18,68112,12,5676,1996-01-18,1,0
5464,2419,1995-01-30,95808,12,7984,1996-01-30,1,0
6591,7819,1995-02-02,20832,48,434,1999-02-02,0,0
5724,3678,1995-02-05,316140,60,5269,2000-02-05,0,1
6315,6472,1995-02-06,43164,12,3597,1996-02-06,1,0
5876,4413,1995-02-08,221280,48,4610,1999-02-08,0,0
6986,9750,1995-02-11,151728,48,3161,1999-02-11,0,1
6294,6353,1995-02-12,79920,60,1332,2000-02-12,0,0
5132,817,1995-02-17,538500,60,8975,2000-02-17,0,0
5877,4414,1995-02-23,97224,24,4051,1997-02-23,1,0
6227,6030,1995-03-04,28248,24,1177,1997-03-04,1,0
7241,11021,1995-03-04,168984,24,7041,1997-03-04,1,1
6737,8564,1995-03-11,76680,24,3195,1997-03-11,1,0
7004,9869,1995-03-15,331560,60,5526,2000-03-15,0,0
6169,5700,1995-03-16,103680,60,1728,2000-03-16,0,1
5208,1247,1995-03-16,99696,48,2077,1999-03-16,0,1
6694,8316,1995-03-19,134784,24,5616,1997-03-19,1,0
5599,3064,1995-03-21,15420,12,1285,1996-03-21,1,0
6546,7607,1995-03-27,31728,24,1322,1997-03-27,1,0
5414,2228,1995-03-29,185952,48,3874,1999-03-29,0,0
5453,2361,1995-04-01,156672,36,4352,1998-04-01,1,0
5740,3752,1995-04-02,18564,12,1547,1996-04-02,1,0
5804,4079,1995-04-05,158976,48,3312,1999-04-05,0,0
6745,8625,1995-04-10,47304,24,1971,1997-04-10,1,0
6950,9591,1995-04-11,104712,24,4363,1997-04-11,1,0
6996,9828,1995-04-13,126600,24,5275,1997-04-13,1,0
5352,1993,1995-04-15,68400,12,5700,1996-04-15,1,1
6151,5628,1995-04-25,225420,60,3757,2000-04-25,0,0
5310,1762,1995-04-28,248148,36,6893,1998-04-28,1,0
5045,347,1995-05-01,187224,24,7801,1997-05-01,1,1
6929,9472,1995-05-08,36396,12,3033,1996-05-08,1,0
5151,960,1995-05-24,189060,60,3151,2000-05-24,0,0
5212,1256,1995-05-29,71064,36,1974,1998-05-29,1,0
5138,854,1995-05-30,87216,48,1817,1999-05-30,0,0
5713,3629,1995-05-30,158760,60,2646,2000-05-30,0,0
6704,8377,1995-06-01,417060,60,6951,2000-06-01,0,0
6474,7190,1995-06-06,63360,60,1056,2000-06-06,0,0
6676,8159,1995-06-13,29784,24,1241,1997-06-13,1,0
6965,9656,1995-06-13,139536,24,5814,1997-06-13,1,0
6725,8489,1995-06-23,265320,36,7370,1998-06-23,1,0
7166,10630,1995-06-24,198240,24,8260,1997-06-24,1,0
7138,10440,1995-07-03,60000,60,1000,2000-07-03,0,0
5970,4774,1995-07-09,465072,48,9689,1999-07-09,0,0
6157,5650,1995-07-10,98592,24,4108,1997-07-10,1,0
6153,5632,1995-07-25,285600,60,4760,2000-07-25,0,0
5693,3489,1995-08-01,44088,24,1837,1997-08-01,1,0
5922,4580,1995-08-05,20220,12,1685,1996-08-05,1,0
5959,4727,1995-08-11,107640,24,4485,1997-08-11,1,0
5980,4825,1995-08-18,21396,12,1783,1996-08-18,1,0
6764,8776,1995-08-26,33984,48,708,1999-08-26,0,0
5237,1375,1995-08-29,45336,24,1889,1997-08-29,1,0
6726,8492,1995-09-03,85860,60,1431,2000-09-03,0,0
6933,9493,1995-09-09,188688,48,3931,1999-09-09,0,0
5145,915,1995-09-16,309552,48,6449,1999-09-16,0,0
7008,9897,1995-09-22,36168,12,3014,1996-09-22,1,0
7227,10942,1995-10-02,314520,60,5242,2000-10-02,0,0
6600,7861,1995-10-08,21852,36,607,1998-10-08,1,0
6712,8405,1995-10-14,266220,60,4437,2000-10-14,0,0
7057,10093,1995-10-20,231696,36,6436,1998-10-20,1,0
7176,10663,1995-10-28,260028,36,7223,1998-10-28,1,0
7304,11349,1995-10-29,419880,60,6998,2000-10-29,0,0
6362,6738,1995-10-31,37908,12,3159,1996-10-31,1,0
5880,4423,1995-10-31,73836,36,2051,1998-10-31,1,0
6535,7546,1995-11-02,41952,12,3496,1996-11-02,1,0
5449,2343,1995-11-04,99336,24,4139,1997-11-04,1,0
6342,6609,1995-11-12,60156,36,1671,1998-11-12,1,1
5409,2218,1995-11-18,182040,60,3034,2000-11-18,0,0
6955,9627,1995-11-22,244368,48,5091,1999-11-22,0,0
6985,9731,1995-11-22,113796,36,3161,1998-11-22,1,0
5125,789,1995-11-23,73056,48,1522,1999-11-23,0,0
5805,4081,1995-11-28,137904,24,5746,1997-11-28,1,1
6185,5774,1995-11-28,31176,24,1299,1997-11-28,1,0
7243,11042,1995-12-04,217152,36,6032,1998-12-04,1,0
6403,6924,1995-12-05,194880,48,4060,1999-12-05,0,0
6578,7765,1995-12-11,27984,12,2332,1996-12-11,1,0
5413,2227,1995-12-12,92976,24,3874,1997-12-12,1,0
6949,9583,1995-12-12,104712,24,4363,1997-12-12,1,0
6545,7606,1995-12-12,191880,60,3198,2000-12-12,0,0
6178,5742,1995-12-16,232560,48,4845,1999-12-16,0,0
5160,1011,1995-12-18,204000,60,3400,2000-12-18,0,0
6785,8899,1995-12-25,125340,60,2089,2000-12-25,0,0
6540,7562,1995-12-31,309600,48,6450,1999-12-31,0,0
6589,7815,1996-01-01,189696,24,7904,1998-01-01,1,0
5900,4503,1996-01-01,135360,48,2820,2000-01-01,0,0
5999,4907,1996-01-03,98832,48,2059,2000-01-03,0,0
6043,5126,1996-01-11,20352,48,424,2000-01-11,0,0
5482,2496,1996-01-12,165120,60,2752,2001-01-12,0,0
7263,11138,1996-01-19,89880,24,3745,1998-01-19,1,0
6013,4995,1996-02-03,128988,36,3583,1999-02-03,0,1
5750,3804,1996-02-08,63252,12,5271,1997-02-08,1,0
6027,5066,1996-02-10,61656,24,2569,1998-02-10,1,1
6303,6400,1996-02-12,72408,24,3017,1998-02-12,1,1
7213,10884,1996-02-13,113544,36,3154,1999-02-13,0,0
6659,8092,1996-02-20,56100,60,935,2001-02-20,0,0
6175,5735,1996-02-21,290700,60,4845,2001-02-21,0,1
5610,3112,1996-02-24,123216,48,2567,2000-02-24,0,0
5563,2912,1996-02-29,380160,60,6336,2001-02-28,0,0
5989,4852,1996-03-04,213300,36,5925,1999-03-04,0,0
6698,8327,1996-03-10,247728,48,5161,2000-03-10,0,0
5312,1772,1996-03-13,202788,36,5633,1999-03-13,0,0
7189,10728,1996-03-21,154656,48,3222,2000-03-21,0,0
